username,profile_url,follower_count,found_in_query
foodsblogger,https://www.tiktok.com/@foodsblogger,108.7K,Minnesota food blogger
jason,https://www.tiktok.com/@jason,107.9K,Minnesota tech startup
mytechceo,https://www.tiktok.com/@mytechceo,107.9K,Minnesota tech startup
upnorth,https://www.tiktok.com/@upnorth,106.6K,Minnesota up north
upnorthturbo_,https://www.tiktok.com/@upnorthturbo_,106.6K,Minnesota up north
minne,https://www.tiktok.com/@minne,105.8K,Minne
minne.id,https://www.tiktok.com/@minne.id,105.8K,Minne
saintpaul.backup,https://www.tiktok.com/@saintpaul.backup,104.5K,Saint Paul
minnesotalynx,https://www.tiktok.com/@minnesotalynx,104.4K,Minnesota
holavik1,https://www.tiktok.com/@holavik1,101.7K,Stillwater
therealms.p,https://www.tiktok.com/@therealms.p,99.7K,MSP
strictlyminnesota,https://www.tiktok.com/@strictlyminnesota,99.6K,Ely Minnesota
homedesignerdiy,https://www.tiktok.com/@homedesignerdiy,99.2K,Minnesota DIY home
stasymichael_co2,https://www.tiktok.com/@stasymichael_co2,98.1K,St Michael MN
home.hacks_,https://www.tiktok.com/@home.hacks_,95.3K,Minnesota DIY home
moussa_njaaye,https://www.tiktok.com/@moussa_njaaye,93.9K,MN
minnesotas_plug,https://www.tiktok.com/@minnesotas_plug,93.4K,St Paul Minnesota
minnesotabear,https://www.tiktok.com/@minnesotabear,91.4K,Minnesota broker
mitsgarden,https://www.tiktok.com/@mitsgarden,91K,Minnesota gardener
thediyist,https://www.tiktok.com/@thediyist,90.7K,Minnesota DIY home
startribune,https://www.tiktok.com/@startribune,90.6K,Minnesota startup founder
bekah.marathonrunnergirl,https://www.tiktok.com/@bekah.marathonrunnergirl,90.6K,Minnesota marathon runner
rb.webdesigner,https://www.tiktok.com/@rb.webdesigner,90K,Minnesota web design
woolasof,https://www.tiktok.com/@woolasof,89.5K,Minnesota kitten
montagueskitten,https://www.tiktok.com/@montagueskitten,89.5K,Minnesota kitten
graphicsdesigning1,https://www.tiktok.com/@graphicsdesigning1,88.1K,Minnesota graphic design
st.anthony.church.iwo,https://www.tiktok.com/@st.anthony.church.iwo,85.8K,St Anthony
stp.hub,https://www.tiktok.com/@stp.hub,85.5K,STP
brxziee,https://www.tiktok.com/@brxziee,84.9K,Minnesota gen z
anthony,https://www.tiktok.com/@anthony,84.3K,St Anthony
anthony_st07,https://www.tiktok.com/@anthony_st07,84.3K,St Anthony
mindfulmovementandliving,https://www.tiktok.com/@mindfulmovementandliving,83.1K,Minnesota personal trainer
x.carguy.x,https://www.tiktok.com/@x.carguy.x,82.4K,Minnesota car guy
mn,https://www.tiktok.com/@mn,81.3K,MN
myatnoepyaae,https://www.tiktok.com/@myatnoepyaae,81.3K,MN
mtor_info,https://www.tiktok.com/@mtor_info,80.9K,STP
anhsjournal,https://www.tiktok.com/@anhsjournal,80.3K,Minnesota gen z
new_hope,https://www.tiktok.com/@new_hope,79.7K,New Hope MN
newhope857,https://www.tiktok.com/@newhope857,79.7K,New Hope MN
sxodim.shymkent,https://www.tiktok.com/@sxodim.shymkent,77.2K,Minnesota influencer local
cityminneapolis,https://www.tiktok.com/@cityminneapolis,76.9K,Minneapolis
farm.girl.4.life,https://www.tiktok.com/@farm.girl.4.life,75.4K,Minnesota farm life
minnesota.motors,https://www.tiktok.com/@minnesota.motors,73.8K,Minnesota entrepreneur
willmartin55,https://www.tiktok.com/@willmartin55,72.1K,Willmar
viralbrief,https://www.tiktok.com/@viralbrief,72K,Minnesota barber shop
minhbarbershops,https://www.tiktok.com/@minhbarbershops,72K,Minnesota barber shop
minnesota.news.now,https://www.tiktok.com/@minnesota.news.now,71.9K,Minnesotan
minnesotablonde1,https://www.tiktok.com/@minnesotablonde1,71.9K,Minnesota nurse local
dogmom76,https://www.tiktok.com/@dogmom76,71.8K,Minnesota dog mom
minnesotamylf,https://www.tiktok.com/@minnesotamylf,69.2K,Minnesota
giacom1na,https://www.tiktok.com/@giacom1na,67.8K,Minnesota business owner
purduegoldusterdanceteam,https://www.tiktok.com/@purduegoldusterdanceteam,67.6K,Minnesota dance team
dogmom,https://www.tiktok.com/@dogmom,64.9K,Minnesota dog mom
dogmom.dk,https://www.tiktok.com/@dogmom.dk,64.9K,Minnesota dog mom
newhope,https://www.tiktok.com/@newhope,64.1K,New Hope MN
afiashop05,https://www.tiktok.com/@afiashop05,64.1K,New Hope MN
minnesotasnowmobiles,https://www.tiktok.com/@minnesotasnowmobiles,63.4K,Minnesota snowmobile
cng.barber.shop.m,https://www.tiktok.com/@cng.barber.shop.m,61.9K,Minnesota barber shop
diy_home_0_,https://www.tiktok.com/@diy_home_0_,61.2K,Minnesota DIY home
diy_home_0,https://www.tiktok.com/@diy_home_0,61.2K,Minnesota DIY home
goodtoseeyou28,https://www.tiktok.com/@goodtoseeyou28,60.6K,Minnesota gym trainer
barberkingdoom,https://www.tiktok.com/@barberkingdoom,59.2K,Minnesota barber shop
charliechamplincc,https://www.tiktok.com/@charliechamplincc,58.7K,Champlin
stmichael12,https://www.tiktok.com/@stmichael12,56.6K,St Michael MN
saintmichael70,https://www.tiktok.com/@saintmichael70,56.6K,St Michael MN
duhhjordannn,https://www.tiktok.com/@duhhjordannn,56.3K,Jordan MN
jordannnnn_n,https://www.tiktok.com/@jordannnnn_n,56.3K,Jordan MN
dogmom153,https://www.tiktok.com/@dogmom153,56.3K,Minnesota dog mom
personal_trainer29,https://www.tiktok.com/@personal_trainer29,55.1K,Minnesota personal trainer
phongkhamdalieustpaul,https://www.tiktok.com/@phongkhamdalieustpaul,54.9K,St Paul
personaltrainer098,https://www.tiktok.com/@personaltrainer098,54.2K,Minnesota personal trainer
makingitinminnesota,https://www.tiktok.com/@makingitinminnesota,52.9K,living in Minnesota
trail_running_official,https://www.tiktok.com/@trail_running_official,52.8K,Minnesota trail running
mn_truck_hq,https://www.tiktok.com/@mn_truck_hq,52.4K,Minnesota truck guy
mintteafilms,https://www.tiktok.com/@mintteafilms,52K,Minnesota film
pao_minneapolis,https://www.tiktok.com/@pao_minneapolis,50.9K,Minneapolis
motivation_crossfit,https://www.tiktok.com/@motivation_crossfit,49.8K,Minnesota crossfit
hugo_mns,https://www.tiktok.com/@hugo_mns,49.1K,Hugo MN
hugo.mns,https://www.tiktok.com/@hugo.mns,49.1K,Hugo MN
minnesotamomma1,https://www.tiktok.com/@minnesotamomma1,48.5K,Minnesota mom
northfield.mandolins,https://www.tiktok.com/@northfield.mandolins,48K,Northfield MN
minnesota_jeep_olllllllo,https://www.tiktok.com/@minnesota_jeep_olllllllo,47.9K,Minnesota
minnesota_mommabear,https://www.tiktok.com/@minnesota_mommabear,46.1K,Minnesota farm life
dogdaysofminnesota,https://www.tiktok.com/@dogdaysofminnesota,45.9K,Minnesota dog owner
