channel_name,handle,profile_url,subscriber_count,found_in_query
Real Crime Mysteries - Truecrime,@RealCrimeMysteries-Truecrime,https://www.youtube.com/results?search_query=Real+Crime+Mysteries+-+Truecrime,2.05K,Minnesota mystery
Guardian Angels,,https://www.youtube.com/results?search_query=Guardian+Angels,2.05K,Minnesota catholic
Allied Medical Training,,https://www.youtube.com/results?search_query=Allied+Medical+Training,2.05K,Minnesota adult education
KVD,,https://www.youtube.com/results?search_query=KVD,2.04K,Minneapolis fashion
Minnesota Vikings Brasil,,https://www.youtube.com/results?search_query=Minnesota+Vikings+Brasil,2.04K,Minnesota Vikings
The University of Minnesota Marching Band,,https://www.youtube.com/results?search_query=The+University+of+Minnesota+Marching+Band,2.04K,Minnesota football
St. Matthew’s Catholic Community,,https://www.youtube.com/results?search_query=St.+Matthew’s+Catholic+Community,2.04K,West St Paul MN
Sporting Journal Radio,,https://www.youtube.com/results?search_query=Sporting+Journal+Radio,2.04K,Minnesota sporting goods
Angela Mashelle,,https://www.youtube.com/results?search_query=Angela+Mashelle,2.04K,Minneapolis fashion
KeansClassics,,https://www.youtube.com/results?search_query=KeansClassics,2.04K,Minnesota antique
"St. Paul's Lutheran Church | Hector, MN",,"https://www.youtube.com/results?search_query=St.+Paul's+Lutheran+Church+|+Hector,+MN",2.04K,West St Paul MN
derrick998,,https://www.youtube.com/results?search_query=derrick998,2.04K,Minnesota outlet
Stafford Outdoors,,https://www.youtube.com/results?search_query=Stafford+Outdoors,2.04K,Minnesota sporting goods
Bakendo Leather Craft,@bakendoleather,https://www.youtube.com/results?search_query=Bakendo+Leather+Craft,2.04K,Minnesota leather working
TBTI VYOutDoors,,https://www.youtube.com/results?search_query=TBTI+VYOutDoors,2.04K,Mille Lacs Lake
Ben Ganje,,https://www.youtube.com/results?search_query=Ben+Ganje,2.04K,North Loop Minneapolis
Lutheran Church of the Good Shepherd- Duluth MN,,https://www.youtube.com/results?search_query=Lutheran+Church+of+the+Good+Shepherd-+Duluth+MN,2.03K,Duluth Minnesota
Madi Strand,,https://www.youtube.com/results?search_query=Madi+Strand,2.03K,Minnesota jazz
SMSUAthletics,,https://www.youtube.com/results?search_query=SMSUAthletics,2.03K,Minnesota State sports
LDA Minnesota,,https://www.youtube.com/results?search_query=LDA+Minnesota,2.03K,Minnesota teacher
Warning Sirens Of Minnesota,,https://www.youtube.com/results?search_query=Warning+Sirens+Of+Minnesota,2.03K,Minnesota tornado
Kannon Kalton,,https://www.youtube.com/results?search_query=Kannon+Kalton,2.03K,Minnesota tornado
MN POC PRIDE FESTIVAL,,https://www.youtube.com/results?search_query=MN+POC+PRIDE+FESTIVAL,2.03K,Minnesota festival
Eric Haugen,,https://www.youtube.com/results?search_query=Eric+Haugen,2.03K,Minnesota celebration
Music at Neveln,,https://www.youtube.com/results?search_query=Music+at+Neveln,2.03K,Minnesota music teacher
Branson and Maisy,,https://www.youtube.com/results?search_query=Branson+and+Maisy,2.03K,Minnesota piano lessons
Wirth Center for the Performing Arts,,https://www.youtube.com/results?search_query=Wirth+Center+for+the+Performing+Arts,2.03K,Minnesota guitar lessons
Bernard Cook,,https://www.youtube.com/results?search_query=Bernard+Cook,2.03K,Minnesota rock climbing
Mies Outland,,https://www.youtube.com/results?search_query=Mies+Outland,2.03K,Minnesota motorcycle dealer
Luverne CardinalVision,,https://www.youtube.com/results?search_query=Luverne+CardinalVision,2.03K,Minnesota concert
Prep Baseball Report Minnesota,,https://www.youtube.com/results?search_query=Prep+Baseball+Report+Minnesota,2.03K,Minnesota banquet hall
